job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,salary_local
AI00042,AI Architect,196954,USD,SE,FL,United States,L,United States,50,"Java, Mathematics, SQL",Bachelor,8,Finance,2025-03-17,2025-04-16,2290,7.5,DataVision Ltd,162306
AI00043,AI Specialist,56745,USD,EN,PT,Finland,L,Finland,100,"Spark, Mathematics, GCP",Associate,1,Telecommunications,2025-02-01,2025-04-11,502,5.5,Quantum Computing Inc,134224
AI00044,Machine Learning Researcher,113455,USD,SE,FT,Singapore,M,Singapore,50,"Hadoop, Docker, Python, Azure",Associate,8,Retail,2024-04-24,2024-06-12,1281,8.0,AI Innovations,58125
AI00045,ML Ops Engineer,158808,EUR,SE,PT,Netherlands,M,Netherlands,50,"Docker, R, Linux",Bachelor,5,Media,2025-03-03,2025-05-03,1926,7.4,Future Systems,154083
AI00046,AI Research Scientist,174663,USD,SE,CT,United States,M,Singapore,50,"Data Visualization, Statistics, R",Associate,7,Media,2024-01-10,2024-03-22,1151,5.4,DeepTech Ventures,79445
AI00047,AI Research Scientist,46753,USD,EN,CT,India,S,India,50,"Scala, Java, Tableau",PhD,1,Manufacturing,2024-11-16,2024-12-18,2012,9.7,Quantum Computing Inc,141719
AI00048,AI Software Engineer,69020,USD,MI,FL,China,L,China,0,"Java, Azure, GCP",Bachelor,4,Energy,2024-09-05,2024-10-25,1584,8.8,TechCorp Inc,38972
AI00049,AI Specialist,288815,USD,EX,PT,Switzerland,S,Switzerland,0,"Deep Learning, Git, Data Visualization, Linux, Java",Bachelor,12,Manufacturing,2024-08-08,2024-09-23,1930,7.2,Cognitive Computing,82613
AI00050,AI Consultant,124871,USD,EX,FL,Austria,M,Finland,50,"Hadoop, AWS, Linux, Docker, Statistics",PhD,19,Media,2025-03-10,2025-05-17,1556,8.0,Autonomous Tech,47943
AI00051,AI Architect,70391,EUR,MI,FT,Germany,S,Germany,0,"Deep Learning, SQL, Mathematics",PhD,4,Government,2024-08-16,2024-10-19,1974,9.2,TechCorp Inc,217318
AI00052,Research Scientist,115376,USD,EX,FT,India,M,India,100,"Linux, R, Azure, Mathematics, Git",Master,17,Technology,2024-03-12,2024-04-14,2028,5.5,Autonomous Tech,84705
AI00053,Research Scientist,106579,USD,MI,PT,United States,S,United States,100,"Docker, Tableau, Mathematics",Associate,3,Gaming,2024-02-24,2024-05-02,2028,5.4,Cognitive Computing,36076
AI00054,Data Scientist,135230,USD,SE,PT,Norway,S,Norway,100,"R, PyTorch, Kubernetes, Computer Vision",PhD,8,Consulting,2024-07-07,2024-09-09,1219,7.5,DataVision Ltd,160216
AI00055,Research Scientist,67607,USD,MI,PT,Israel,S,Israel,50,"Python, Tableau, TensorFlow, AWS",Master,4,Media,2024-08-05,2024-08-26,1714,8.6,Quantum Computing Inc,45620
AI00056,AI Architect,88470,USD,MI,PT,Canada,L,Canada,0,"Azure, Kubernetes, TensorFlow, Statistics, Spark",Associate,3,Real Estate,2024-07-29,2024-09-27,1528,9.1,Autonomous Tech,177990
AI00057,Autonomous Systems Engineer,79863,USD,MI,FL,India,L,India,100,"Python, Docker, GCP, Scala",Associate,4,Automotive,2024-09-28,2024-10-26,1325,5.6,Autonomous Tech,51207
AI00058,Machine Learning Engineer,60299,USD,EN,PT,Israel,L,Israel,100,"Git, Linux, Python, TensorFlow, Mathematics",PhD,0,Finance,2025-03-22,2025-05-01,1872,6.6,Advanced Robotics,8150010
AI00059,Machine Learning Engineer,85645,EUR,MI,FT,Germany,M,Germany,0,"PyTorch, Computer Vision, R",Associate,4,Transportation,2024-02-09,2024-03-06,793,7.9,AI Innovations,58255
AI00060,AI Software Engineer,110222,GBP,SE,FL,United Kingdom,S,France,0,"R, Spark, AWS",Associate,8,Media,2024-03-20,2024-05-05,1945,9.0,TechCorp Inc,99401
AI00061,Data Scientist,49365,USD,EN,FT,China,M,China,0,"Tableau, NLP, Azure, Statistics, PyTorch",Associate,1,Finance,2024-06-22,2024-08-14,1907,10.0,Predictive Systems,67632
AI00062,Data Scientist,162296,USD,SE,PT,Norway,S,Norway,50,"TensorFlow, Azure, Computer Vision, Data Visualization",Bachelor,6,Finance,2024-06-05,2024-07-01,1714,6.2,Neural Networks Co,113189
AI00063,AI Consultant,102382,USD,MI,PT,Switzerland,M,Switzerland,0,"TensorFlow, Scala, Docker, Statistics",PhD,3,Education,2024-03-23,2024-06-03,2199,5.8,Smart Analytics,125752
AI00064,AI Software Engineer,99972,USD,MI,PT,Australia,M,Canada,50,"Java, R, Deep Learning, NLP, Azure",PhD,4,Technology,2024-02-20,2024-03-15,799,6.5,Cloud AI Solutions,7801970
AI00065,Data Engineer,64129,USD,EN,CT,South Korea,L,South Korea,0,"Java, Git, Deep Learning",Bachelor,0,Manufacturing,2024-12-15,2025-02-11,909,7.1,Machine Intelligence Group,60608
AI00066,AI Specialist,87938,USD,SE,FT,Ireland,S,Ireland,100,"Mathematics, Spark, Python, AWS",PhD,8,Education,2024-12-15,2025-02-12,508,8.1,Machine Intelligence Group,77498
AI00067,Autonomous Systems Engineer,71405,USD,MI,FL,Israel,L,Israel,0,"SQL, Java, MLOps, Linux, PyTorch",Associate,4,Retail,2024-09-01,2024-10-29,1153,9.5,Advanced Robotics,129121
AI00068,Machine Learning Engineer,316182,USD,EX,PT,Denmark,M,Canada,0,"Python, Scala, Statistics, Git",Associate,12,Finance,2025-02-09,2025-02-23,2452,7.0,Digital Transformation LLC,76317
AI00069,Machine Learning Researcher,72459,EUR,EN,PT,Germany,M,Germany,100,"Hadoop, Python, Kubernetes, Azure",Bachelor,0,Gaming,2024-08-30,2024-09-15,583,9.6,Quantum Computing Inc,160534
AI00070,Principal Data Scientist,78338,EUR,MI,FT,France,L,France,100,"MLOps, Kubernetes, Git, Python",Associate,3,Technology,2024-10-31,2024-12-15,548,8.7,Cognitive Computing,40687
AI00071,NLP Engineer,51907,USD,MI,FL,Israel,M,Singapore,100,"AWS, Kubernetes, Azure",Bachelor,4,Healthcare,2024-02-14,2024-04-02,912,8.2,Neural Networks Co,174508
AI00072,Autonomous Systems Engineer,122831,EUR,SE,FL,France,S,France,100,"PyTorch, Kubernetes, Git, SQL",Master,7,Real Estate,2024-05-31,2024-06-19,761,8.4,Algorithmic Solutions,94396
AI00073,Machine Learning Researcher,124820,USD,MI,FL,Norway,S,Norway,50,"NLP, Azure, Statistics, Spark, Mathematics",Associate,3,Real Estate,2024-08-02,2024-10-01,2077,9.9,Cognitive Computing,158237
AI00074,Autonomous Systems Engineer,134200,GBP,SE,PT,United Kingdom,S,United Kingdom,50,"Linux, R, Tableau",PhD,9,Retail,2024-11-29,2025-01-09,2396,7.8,Machine Intelligence Group,239068
AI00075,Data Engineer,51920,USD,EN,PT,Sweden,S,Finland,100,"Scala, R, Tableau, Data Visualization",PhD,0,Consulting,2025-04-08,2025-05-13,1778,7.9,Digital Transformation LLC,81401
AI00076,Data Engineer,56427,USD,EN,FL,Singapore,M,Singapore,100,"Mathematics, Kubernetes, Spark",Master,0,Energy,2024-11-16,2025-01-25,1366,5.2,DeepTech Ventures,129806
AI00077,AI Product Manager,213783,USD,EX,FT,Canada,S,Canada,100,"Kubernetes, Spark, Statistics, Scala",Bachelor,16,Energy,2024-09-19,2024-10-06,2383,9.2,Quantum Computing Inc,67096
AI00078,ML Ops Engineer,59728,USD,MI,FL,Israel,M,Israel,50,"MLOps, SQL, Statistics",Associate,2,Finance,2024-06-10,2024-08-13,1350,7.5,DataVision Ltd,101054
AI00079,Computer Vision Engineer,119432,USD,SE,CT,India,L,India,0,"Scala, MLOps, NLP",PhD,6,Technology,2024-04-20,2024-06-08,1008,6.3,Autonomous Tech,78036
AI00080,AI Research Scientist,284486,USD,EX,CT,United States,M,United States,0,"PyTorch, Linux, SQL",Master,12,Consulting,2025-02-13,2025-03-10,2231,7.0,TechCorp Inc,42379
AI00081,Data Analyst,157597,EUR,EX,CT,France,L,France,50,"Git, Kubernetes, TensorFlow, R, Java",Bachelor,17,Manufacturing,2024-08-31,2024-09-15,639,8.4,Neural Networks Co,68507
AI00082,ML Ops Engineer,196942,USD,EX,CT,Australia,L,Australia,100,"R, Tableau, SQL, MLOps, Docker",Master,19,Gaming,2024-04-01,2024-04-16,826,7.5,TechCorp Inc,76026
AI00083,Machine Learning Researcher,207548,USD,EX,CT,Canada,M,Canada,0,"NLP, Azure, Spark, Data Visualization",PhD,10,Energy,2024-02-05,2024-03-11,2292,6.7,Cognitive Computing,84841
AI00084,NLP Engineer,68838,USD,MI,FL,Sweden,S,Sweden,50,"Java, SQL, Spark, Tableau, Azure",PhD,3,Automotive,2024-06-20,2024-08-12,804,7.4,TechCorp Inc,143010
AI00085,ML Ops Engineer,125666,USD,EX,FL,Finland,L,Finland,100,"Docker, Python, Git, Kubernetes, Java",PhD,13,Telecommunications,2024-06-19,2024-08-22,757,8.4,TechCorp Inc,130779
AI00086,NLP Engineer,73174,USD,EN,FT,Denmark,M,Denmark,50,"Git, MLOps, Hadoop, Python, Spark",Associate,0,Finance,2024-07-14,2024-09-08,678,6.4,Machine Intelligence Group,115314
AI00087,Autonomous Systems Engineer,33314,USD,EN,CT,Israel,S,India,50,"SQL, Kubernetes, Docker",Bachelor,0,Manufacturing,2025-04-16,2025-06-15,1207,8.3,Future Systems,181068
AI00088,AI Specialist,69914,USD,EN,FT,United States,S,United States,100,"R, NLP, SQL, GCP",Associate,0,Transportation,2025-02-15,2025-04-15,1517,7.0,Smart Analytics,119021
AI00089,Principal Data Scientist,152118,EUR,EX,FL,France,M,France,50,"Spark, SQL, Python, Mathematics, Linux",Master,11,Automotive,2024-05-20,2024-07-14,1294,6.9,AI Innovations,219746
AI00090,AI Software Engineer,78014,EUR,EN,CT,France,L,France,50,"PyTorch, Hadoop, Scala, Computer Vision",PhD,0,Real Estate,2024-11-19,2024-12-07,841,6.8,Digital Transformation LLC,115774
AI00091,Research Scientist,48466,USD,EN,PT,Canada,S,Canada,100,"Hadoop, Spark, Kubernetes, Python",Bachelor,0,Automotive,2025-03-10,2025-05-14,1146,5.7,Predictive Systems,117886
AI00092,Data Analyst,97997,EUR,SE,CT,France,S,France,50,"Hadoop, Python, TensorFlow, R, Statistics",PhD,8,Technology,2024-06-19,2024-07-16,2419,6.0,Algorithmic Solutions,172101
AI00093,Principal Data Scientist,128341,USD,SE,FL,Singapore,S,Singapore,0,"Computer Vision, PyTorch, GCP, Linux",Bachelor,9,Finance,2025-04-26,2025-06-15,2457,6.9,Neural Networks Co,155502
AI00094,AI Research Scientist,111528,USD,MI,FL,United States,L,United States,0,"Java, Hadoop, Mathematics",PhD,3,Real Estate,2024-03-01,2024-05-08,1299,9.5,Predictive Systems,73219
AI00095,Machine Learning Researcher,138945,USD,EX,PT,Canada,S,Canada,50,"Linux, R, NLP, PyTorch, Git",Master,19,Education,2024-07-10,2024-09-15,1559,8.9,DeepTech Ventures,72021
AI00096,NLP Engineer,98688,USD,SE,FT,Israel,M,Israel,50,"Statistics, Python, TensorFlow, PyTorch, Git",Bachelor,8,Manufacturing,2024-04-10,2024-05-03,598,8.6,Cognitive Computing,134920
AI00097,Data Analyst,109029,EUR,SE,FT,France,S,France,0,"Kubernetes, Scala, Java",Bachelor,6,Technology,2025-04-05,2025-06-13,2049,6.1,Predictive Systems,107694
AI00098,NLP Engineer,84797,USD,MI,FT,Canada,M,Canada,0,"Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics",Master,4,Real Estate,2024-12-04,2025-01-03,1909,6.2,Machine Intelligence Group,114301
AI00099,Machine Learning Researcher,290199,USD,EX,CT,Switzerland,L,Denmark,50,"Python, AWS, Kubernetes, Deep Learning",Master,12,Retail,2025-01-12,2025-03-07,1137,5.6,Smart Analytics,69546
AI00100,AI Research Scientist,195691,USD,SE,CT,United States,L,United States,0,"AWS, Kubernetes, Docker, Mathematics, MLOps",PhD,8,Transportation,2024-04-20,2024-06-22,916,8.7,Advanced Robotics,99874
AI00101,AI Product Manager,193448,USD,SE,FT,Norway,L,Norway,100,"Scala, Git, Java",Associate,9,Consulting,2025-01-02,2025-03-11,579,6.6,Cognitive Computing,48870
AI00102,AI Product Manager,138466,USD,EX,PT,Israel,L,Israel,100,"Azure, AWS, PyTorch, GCP, Hadoop",Associate,16,Government,2024-01-25,2024-04-04,1690,9.5,Smart Analytics,120861
AI00103,Data Analyst,91577,EUR,MI,CT,Netherlands,M,Netherlands,100,"Spark, Mathematics, PyTorch, SQL, TensorFlow",Bachelor,3,Transportation,2024-01-27,2024-02-28,859,6.5,Algorithmic Solutions,109489
AI00104,Computer Vision Engineer,92875,USD,MI,FT,Sweden,S,Sweden,0,"SQL, Python, Deep Learning",PhD,3,Real Estate,2024-07-21,2024-09-27,701,5.3,Digital Transformation LLC,283428
AI00105,Data Engineer,213287,GBP,EX,FT,United Kingdom,S,United Kingdom,100,"TensorFlow, GCP, PyTorch, Spark",Master,13,Healthcare,2025-03-03,2025-04-03,1102,6.3,Cloud AI Solutions,104906
AI00106,NLP Engineer,62171,USD,MI,FT,Japan,S,Japan,0,"Git, SQL, PyTorch, Mathematics",Bachelor,2,Consulting,2024-09-15,2024-11-07,2162,8.1,AI Innovations,231496
AI00107,AI Research Scientist,152658,USD,EX,FL,South Korea,L,United Kingdom,50,"Data Visualization, PyTorch, Spark, TensorFlow",Associate,16,Automotive,2024-01-28,2024-03-17,548,9.0,TechCorp Inc,16214220
AI00108,ML Ops Engineer,95085,USD,MI,FT,Norway,M,Norway,100,"TensorFlow, SQL, NLP, Computer Vision, Git",Associate,2,Retail,2024-03-20,2024-04-20,2298,6.5,Predictive Systems,58931
AI00109,Deep Learning Engineer,86750,EUR,MI,FL,France,S,France,100,"Java, R, Git, Mathematics, Spark",PhD,2,Government,2024-12-13,2025-02-24,1397,7.1,AI Innovations,183466
AI00110,AI Specialist,64261,USD,MI,PT,Israel,M,Israel,0,"PyTorch, Docker, GCP",Master,2,Transportation,2024-09-04,2024-10-10,2385,8.8,TechCorp Inc,79833
AI00111,Machine Learning Researcher,205357,USD,EX,PT,United States,S,United States,100,"Computer Vision, Hadoop, Git, AWS",Bachelor,18,Education,2024-03-08,2024-05-13,1646,6.6,Predictive Systems,304859
AI00112,AI Architect,165676,EUR,EX,CT,France,S,France,50,"TensorFlow, Linux, SQL, Hadoop",Associate,18,Government,2024-05-13,2024-06-25,926,7.8,Neural Networks Co,95384
AI00113,Computer Vision Engineer,114658,EUR,SE,CT,France,M,France,100,"SQL, Scala, Python",Bachelor,9,Telecommunications,2024-03-18,2024-04-20,1560,8.2,Algorithmic Solutions,45738
AI00114,Data Scientist,143149,EUR,SE,FL,France,L,France,50,"NLP, Computer Vision, Mathematics, Statistics, R",Master,6,Real Estate,2024-03-13,2024-05-10,1169,9.1,Digital Transformation LLC,166013
AI00115,Machine Learning Researcher,116276,EUR,SE,FL,Germany,S,Germany,50,"Azure, R, Linux, MLOps",Bachelor,7,Technology,2024-08-14,2024-09-06,608,7.9,Future Systems,141439
AI00116,NLP Engineer,61055,USD,EN,FL,United States,M,Ireland,100,"R, AWS, Computer Vision, Statistics, Docker",Bachelor,0,Retail,2024-06-04,2024-07-16,1891,6.9,Autonomous Tech,125836
AI00117,ML Ops Engineer,50303,USD,EN,FT,Austria,L,Austria,100,"Kubernetes, SQL, Azure, Deep Learning, Linux",Master,0,Gaming,2024-08-11,2024-10-02,2015,7.0,DataVision Ltd,58213
AI00118,Data Analyst,65570,USD,SE,FL,Ireland,S,Ireland,50,"PyTorch, SQL, MLOps, AWS, TensorFlow",Associate,7,Retail,2024-10-22,2024-11-06,635,9.9,Smart Analytics,69862
AI00119,AI Software Engineer,231078,USD,EX,FL,Singapore,M,Singapore,50,"MLOps, R, Git, Mathematics",Bachelor,17,Consulting,2024-04-15,2024-06-03,784,7.6,Neural Networks Co,280766
AI00120,AI Product Manager,106633,USD,SE,FT,Australia,M,South Korea,100,"Linux, Scala, SQL, Git",Bachelor,9,Automotive,2024-05-18,2024-06-25,1243,5.5,Algorithmic Solutions,115664
AI00121,AI Specialist,121180,USD,SE,FL,Austria,L,Austria,0,"Git, Deep Learning, Kubernetes, Linux, GCP",Master,9,Media,2025-01-06,2025-02-01,611,7.0,Quantum Computing Inc,109337
AI00122,Principal Data Scientist,64531,USD,EN,PT,China,L,Netherlands,50,"Git, SQL, Scala, Python, Computer Vision",PhD,0,Retail,2025-03-26,2025-04-13,1645,7.0,Smart Analytics,115386
AI00123,Machine Learning Engineer,125654,USD,MI,CT,Singapore,L,Singapore,50,"Python, Tableau, Java",PhD,4,Automotive,2024-06-20,2024-08-25,1212,6.8,DataVision Ltd,48323
AI00124,Machine Learning Researcher,182275,USD,EX,FT,Austria,L,Austria,0,"Docker, AWS, Linux, Git, Azure",PhD,14,Technology,2025-04-19,2025-05-14,2427,9.0,DeepTech Ventures,108088
AI00125,Machine Learning Researcher,117708,USD,MI,FL,Denmark,L,Denmark,0,"PyTorch, Scala, Linux, Tableau, Deep Learning",PhD,4,Transportation,2024-02-24,2024-03-17,1912,9.3,Neural Networks Co,171236
AI00126,Data Engineer,143246,USD,EX,FT,South Korea,S,South Korea,0,"Docker, SQL, Kubernetes, Git, Statistics",Master,11,Healthcare,2024-12-25,2025-01-24,1426,8.4,Future Systems,206901
AI00127,AI Product Manager,203198,USD,SE,FT,Denmark,L,Denmark,50,"Statistics, R, Python, TensorFlow",Master,5,Consulting,2024-12-04,2025-01-11,1596,7.6,DeepTech Ventures,63667
AI00128,Research Scientist,69487,USD,EN,CT,Switzerland,S,Switzerland,0,"Kubernetes, Azure, Spark, TensorFlow, Linux",Master,0,Transportation,2024-11-04,2024-12-02,1825,7.7,Machine Intelligence Group,31185
AI00129,AI Product Manager,95673,USD,EX,FL,Ireland,S,Ireland,0,"GCP, R, Azure, Deep Learning, PyTorch",Associate,17,Technology,2024-08-24,2024-09-15,1467,8.1,Neural Networks Co,112342
AI00130,AI Software Engineer,59405,USD,EN,FL,Austria,L,Austria,100,"Spark, Python, Deep Learning, Linux, Java",Bachelor,1,Consulting,2025-03-18,2025-04-12,984,6.0,Smart Analytics,24568390
AI00131,AI Specialist,131756,EUR,SE,PT,Netherlands,M,Finland,0,"AWS, R, Spark",PhD,5,Technology,2024-08-03,2024-10-15,2308,7.9,AI Innovations,26957
AI00132,AI Software Engineer,42835,USD,EN,PT,South Korea,L,France,0,"Python, TensorFlow, PyTorch",Bachelor,0,Media,2025-03-02,2025-03-30,539,9.0,Machine Intelligence Group,93564
AI00133,Autonomous Systems Engineer,61893,USD,EN,FT,Canada,M,Canada,50,"Statistics, Python, SQL",Associate,1,Consulting,2024-03-28,2024-05-01,1419,5.2,Predictive Systems,96769
AI00134,ML Ops Engineer,141791,EUR,EX,CT,France,M,France,0,"Hadoop, Azure, Python, R",PhD,13,Media,2025-02-03,2025-02-23,2136,5.8,Algorithmic Solutions,125443
AI00135,AI Product Manager,258637,GBP,EX,PT,United Kingdom,M,United Kingdom,50,"Computer Vision, GCP, Azure, SQL, Python",Master,11,Education,2025-01-16,2025-02-15,813,9.1,Cognitive Computing,63143
AI00136,NLP Engineer,49485,USD,MI,FT,Finland,S,Finland,0,"Hadoop, Java, Data Visualization",Associate,2,Technology,2024-08-09,2024-09-16,909,7.8,Cloud AI Solutions,80034
